,Meets Credit Policy?,Interest Rate (%),Log Annual Income ($),FICO Score,Revolving Balance ($),Revolving Line Utilisation Rate,No. of Overdue Payments,No. of Derogatory Public Records,Loan Not Fully Paid
48,1,9.01,11.2,722,23489,37.6,0,0,0
49,1,7.430000000000001,11.74,792,2817,10.2,0,0,0
50,1,7.430000000000001,10.71,782,1783,0.0,0,0,0
51,1,10.280000000000001,10.22,712,3534,54.4,0,0,0
52,1,10.59,10.78,762,2422,23.3,0,0,0
53,1,9.959999999999999,9.51,712,2864,41.1,0,0,0
54,1,15.959999999999999,10.86,627,3075,92.3,0,0,0
55,1,10.59,11.0,747,17214,8.1,1,0,0
56,1,11.540000000000001,9.9,662,1153,75.8,0,0,0
57,1,13.43,11.88,682,41674,74.1,0,0,1
58,1,12.49,11.23,682,43039,93.4,0,0,0
59,1,9.64,11.0,712,3362,69.3,0,0,0
60,1,11.86,11.08,682,11868,71.9,2,0,0
61,1,7.430000000000001,10.6,772,2562,14.0,0,0,0
62,1,10.280000000000001,9.9,682,1882,32.4,0,0,0
63,1,11.86,10.5,667,1064,70.9,0,1,0
64,1,8.07,11.49,752,6432,6.0,1,0,0
65,1,10.59,10.43,687,4485,36.9,0,0,1
66,1,9.959999999999999,11.26,702,16310,20.5,1,0,0
67,1,9.64,11.78,712,20969,40.2,0,0,0
68,1,13.750000000000002,10.46,707,22213,65.9,0,0,0
69,1,7.75,12.32,752,2160,2.3,0,0,0
70,1,7.430000000000001,11.16,812,813,1.0,0,0,0
71,1,8.07,11.92,757,23678,24.4,0,0,0
72,1,9.959999999999999,10.78,722,11289,47.8,0,0,0
73,1,15.010000000000002,12.27,677,56411,75.3,0,0,1
74,1,9.64,11.23,772,269,3.8,0,0,1
75,1,12.8,10.37,682,3408,35.1,0,0,1
76,1,11.219999999999999,10.6,712,6513,34.3,0,1,1
77,1,7.430000000000001,10.6,772,330,11.0,0,0,0
78,1,8.7,11.16,712,5967,19.8,0,0,0
79,1,10.91,9.8,707,5533,79.6,0,0,0
80,1,7.75,11.74,762,21050,1.0,0,0,0
81,1,7.75,10.82,762,21050,0.7,0,0,0
82,1,8.7,11.7,742,8155,14.9,0,0,0
83,1,9.64,11.51,722,8155,14.9,0,0,0
84,1,8.7,11.03,737,3678,30.7,0,0,0
85,1,12.17,10.46,662,2040,36.2,0,0,0
86,1,15.329999999999998,11.0,667,33074,68.8,0,0,0
87,1,7.75,11.03,747,1918,17.1,0,0,0
88,1,15.329999999999998,11.41,662,22379,62.2,0,0,0
89,1,9.64,11.47,737,10296,42.5,0,0,1
90,1,11.540000000000001,9.62,672,2867,55.1,0,0,1
91,1,11.219999999999999,10.31,682,12310,86.1,0,0,0
92,1,8.7,11.92,767,61921,39.1,0,0,0
93,1,11.219999999999999,11.39,702,16738,26.1,0,0,0
94,1,8.07,11.05,792,40384,9.2,0,0,0
95,1,7.75,10.71,762,1359,5.6,0,0,0
96,1,11.540000000000001,12.32,727,107501,44.8,0,0,0
97,1,8.07,12.06,787,3054,5.6,0,0,0
98,1,8.07,11.41,792,40384,9.6,0,0,0
99,1,9.33,11.44,792,128000,0.0,0,0,0
100,1,7.12,11.68,772,4709,18.5,0,0,0
101,1,11.86,10.71,667,2850,75.0,1,0,0
102,1,15.010000000000002,11.47,702,51,0.0,0,0,1
103,1,8.07,11.92,792,37152,3.7,0,0,0
104,1,9.33,11.23,762,3839,16.6,0,0,0
105,1,8.07,11.35,797,37152,3.7,0,0,0
106,1,12.17,11.16,672,26283,39.5,1,0,1
107,1,10.280000000000001,10.71,692,5607,42.2,0,0,0
108,1,12.49,10.04,662,1061,81.9,0,0,0
109,1,10.280000000000001,11.7,722,56740,77.5,0,0,0
110,1,10.59,10.95,712,40598,77.3,0,0,0
111,1,14.38,11.18,687,3815,6.5,0,0,0
112,1,7.430000000000001,11.7,772,0,0.0,0,0,0
113,1,7.12,11.61,812,50,0.3,0,0,0
114,1,15.65,11.43,667,4569,56.4,0,0,0
115,1,10.59,9.85,692,8528,86.1,0,0,0
116,1,11.219999999999999,10.39,747,14345,45.8,0,0,0
117,1,11.219999999999999,10.82,707,113,2.4,0,0,0
118,1,13.750000000000002,11.04,677,12231,81.0,0,0,1
119,1,14.67,10.95,667,13552,69.1,1,0,0
120,1,10.280000000000001,11.38,692,16813,63.9,0,0,0
121,1,12.49,10.57,667,26233,62.9,0,1,1
122,1,7.430000000000001,11.35,782,5760,16.0,0,0,0
123,1,10.280000000000001,10.73,687,105,35.0,1,0,1
124,1,11.219999999999999,10.95,682,11490,95.7,0,0,0
125,1,13.120000000000001,10.6,692,17641,30.5,1,0,0
126,1,11.219999999999999,10.31,742,0,0.0,0,0,0
127,1,8.07,10.92,797,12430,19.2,0,0,0
128,1,10.91,10.49,707,12323,44.0,0,0,0
129,1,10.280000000000001,11.41,697,38624,97.8,0,0,0
130,1,12.17,9.21,662,875,54.7,1,0,1
131,1,12.49,11.35,667,1196,12.0,4,0,0
132,1,14.38,13.08,697,26628,60.4,1,0,0
133,1,10.280000000000001,10.34,767,6752,24.6,0,0,0
134,1,12.49,9.43,662,458,91.6,0,0,1
135,1,8.38,11.56,752,16786,44.7,0,0,0
136,1,9.01,11.7,742,7336,29.9,0,0,0
137,1,9.33,11.03,702,7089,41.9,0,0,0
138,1,8.07,10.9,742,18388,68.9,0,0,0
139,1,9.959999999999999,10.37,677,613,76.6,0,0,0
140,1,12.49,10.28,662,566,51.5,1,0,1
141,1,12.8,10.5,682,9166,50.4,0,0,0
142,1,10.91,10.57,707,5406,33.4,0,1,1
143,1,9.959999999999999,10.46,687,1188,3.0,0,0,1
144,1,9.959999999999999,9.8,707,12003,40.4,0,0,0
145,1,10.59,11.0,707,20511,62.0,0,0,1
146,1,9.64,11.16,732,55720,10.0,0,0,0
147,1,8.07,10.8,772,7744,17.1,0,0,0
148,1,9.64,11.16,737,51761,38.0,0,0,0
149,1,11.540000000000001,10.71,717,579,23.2,0,0,0
150,1,13.120000000000001,11.35,707,34776,54.3,0,0,1
151,1,10.280000000000001,10.92,692,8047,33.8,0,0,0
152,1,10.59,9.62,737,0,0.0,0,0,0
153,1,11.540000000000001,10.13,672,409,81.8,1,0,0
154,1,9.01,10.95,822,185,0.5,0,0,0
155,1,9.959999999999999,11.34,727,48251,50.1,0,0,0
156,1,10.280000000000001,10.55,687,772,96.5,0,0,0
157,1,11.540000000000001,10.82,672,1019,4.5,1,0,0
158,1,10.91,10.75,692,8332,39.9,0,0,0
159,1,7.75,11.16,797,1790,4.5,0,0,0
160,1,12.8,11.23,722,62739,74.7,0,0,1
161,1,10.59,11.6,767,29901,71.2,0,0,1
162,1,11.86,10.86,667,5867,74.3,0,0,0
163,1,9.64,11.26,732,10605,22.1,0,0,0
164,1,10.91,11.7,697,57196,44.5,0,0,1
165,1,9.01,12.52,712,481,80.2,0,0,1
166,1,8.38,10.31,737,2282,19.0,0,0,0
167,1,10.91,9.57,672,3614,61.3,0,0,0
168,1,10.59,11.06,682,14930,79.0,0,1,0
169,1,9.959999999999999,11.66,727,33989,82.9,0,0,0
170,1,14.7,10.13,632,1238,61.9,1,0,0
171,1,9.01,10.62,747,4746,18.5,0,0,0
172,1,7.75,9.95,752,3470,25.5,0,0,0
173,1,9.959999999999999,11.03,682,12640,83.2,0,0,0
174,1,7.12,11.44,812,368,1.2,0,0,0
175,1,10.91,11.1,677,30597,89.5,1,0,0
176,1,11.540000000000001,10.2,682,8537,75.5,0,0,0
177,1,10.91,10.46,692,15649,54.5,0,0,0
178,1,7.75,10.86,767,4067,7.3,0,0,0
179,1,10.280000000000001,10.46,687,5836,68.7,0,1,0
180,1,10.280000000000001,11.39,702,24615,94.7,0,0,0
181,1,10.280000000000001,10.31,687,7600,71.7,0,1,0
182,1,11.219999999999999,10.84,682,9495,87.9,0,0,1
183,1,7.75,9.9,757,4921,30.4,0,0,0
184,1,11.540000000000001,11.46,667,11200,23.2,0,0,0
185,1,7.430000000000001,11.14,777,2444,5.6,0,0,0
186,1,9.33,11.0,767,916,6.8,0,0,0
187,1,9.01,13.33,782,148829,6.6,0,0,1
188,1,8.7,10.69,747,3209,12.6,0,0,0
189,1,10.91,11.29,677,7570,82.3,0,0,0
190,1,10.91,11.29,687,13126,96.5,0,1,0
191,1,11.86,11.92,687,66654,51.6,0,0,0
192,1,7.430000000000001,11.46,812,50,0.3,0,0,0
193,1,10.280000000000001,9.39,687,3084,65.6,0,0,1
194,1,9.959999999999999,11.43,712,2598,23.8,0,0,0
195,1,10.59,11.03,682,18168,68.5,0,0,0
196,1,11.219999999999999,10.4,682,24218,85.3,0,0,0
197,1,8.07,9.8,722,0,0.0,0,0,0
198,1,10.91,12.21,697,72303,73.7,0,0,0
199,1,8.7,11.94,757,1032,5.0,0,0,0
200,1,11.219999999999999,10.66,677,133,4.2,0,0,0
201,1,11.540000000000001,10.7,682,34023,57.7,2,0,1
202,1,7.430000000000001,11.18,757,12430,29.6,0,0,0
203,1,7.75,10.78,787,10742,8.9,0,0,0
204,1,11.86,10.6,667,2197,75.8,2,0,1
205,1,10.280000000000001,10.69,692,88,23.8,3,0,1
206,1,10.280000000000001,10.82,702,13867,33.7,0,0,0
207,1,9.959999999999999,11.19,702,3943,98.6,0,0,1
208,1,8.7,10.09,757,5405,40.0,0,0,0
209,1,12.17,10.42,712,12102,49.0,0,0,0
210,1,12.17,11.61,682,18076,81.4,0,0,0
211,1,12.17,10.2,702,4504,39.2,0,0,1
212,1,11.86,10.86,712,25852,60.5,0,0,0
213,1,10.91,10.86,707,32438,43.0,1,0,0
214,1,8.7,10.93,747,20380,48.1,0,0,0
215,1,9.33,10.65,707,38054,61.2,0,0,0
216,1,10.91,10.49,697,25,0.2,0,0,0
217,1,9.959999999999999,10.55,697,3305,55.1,0,0,0
218,1,11.86,11.37,682,348,4.8,0,0,1
219,1,8.7,10.09,722,3015,25.3,0,0,0
220,1,10.59,10.31,702,7336,71.9,0,0,0
221,1,12.49,10.86,662,8644,72.6,0,0,0
222,1,11.540000000000001,11.47,707,93,0.0,0,0,1
223,1,7.430000000000001,10.67,777,2698,9.5,0,0,0
224,1,10.280000000000001,11.48,697,19009,30.0,0,0,0
225,1,8.7,10.78,717,498,7.3,1,0,0
226,1,12.17,11.0,672,10358,91.7,0,1,1
227,1,10.280000000000001,11.23,682,2105,45.3,3,0,0
228,1,9.64,11.0,697,2822,9.9,0,0,0
229,1,10.59,11.59,707,21004,97.7,0,0,0
230,1,13.750000000000002,10.76,667,11675,75.8,0,0,0
231,1,9.01,9.88,712,3933,43.7,0,0,0
232,1,12.8,10.98,662,7251,80.6,0,2,0
233,1,12.17,10.71,692,88,44.0,3,0,1
234,1,9.33,10.51,697,1492,33.2,0,0,0
235,1,9.959999999999999,10.13,692,7121,33.7,0,0,0
236,1,12.8,11.03,677,17641,69.5,0,0,0
237,1,14.38,11.29,682,30946,61.5,0,0,1
238,1,8.38,11.25,772,0,0.0,0,0,0
239,1,10.91,11.23,697,23391,90.7,0,0,0
240,1,9.64,9.88,772,16324,48.0,0,0,0
241,1,12.8,10.49,662,7104,93.5,0,0,1
242,1,12.17,10.09,672,9273,43.9,0,0,0
243,1,11.86,10.83,672,6718,94.6,0,0,0
244,1,9.64,11.23,767,12017,12.1,0,0,1
245,1,10.91,11.16,692,5749,43.2,1,0,0
246,1,12.49,11.28,692,6530,21.8,1,0,0
247,1,7.75,10.09,752,2666,12.1,0,0,0
248,1,10.280000000000001,10.78,687,3761,55.4,0,0,0
249,1,14.069999999999999,11.7,677,33698,91.3,0,0,0
250,1,10.91,11.2,737,3472,4.5,0,0,1
251,1,15.959999999999999,10.46,667,14534,48.9,1,0,0
252,1,9.33,11.0,732,6703,47.5,0,0,0
253,1,13.120000000000001,11.56,667,5861,53.8,0,0,0
254,1,12.8,10.15,662,5061,72.3,1,0,0
255,1,9.959999999999999,10.9,722,16888,39.5,0,0,0
256,1,11.540000000000001,10.84,667,463,92.6,0,0,0
257,1,9.33,10.13,712,0,0.0,1,0,0
258,1,9.64,10.78,742,8283,12.7,0,0,0
259,1,10.91,11.62,687,46525,93.6,0,0,0
260,1,7.430000000000001,10.63,772,2650,6.6,0,0,0
261,1,9.33,11.51,762,17,0.1,0,0,1
262,1,9.33,10.51,727,827,6.6,0,0,1
263,1,9.64,8.52,702,961,26.0,0,0,0
264,1,9.64,9.8,697,1554,29.3,0,0,0
265,1,14.069999999999999,11.81,672,10753,52.3,3,0,1
266,1,7.12,11.7,792,2227,3.8,0,0,0
267,1,9.01,11.52,722,7606,18.6,0,1,0
268,1,12.49,11.0,662,8355,34.4,2,0,1
269,1,14.38,11.33,667,27293,86.6,0,0,0
270,1,9.64,11.11,712,10157,26.2,1,0,0
271,1,14.7,11.37,677,4209,75.2,0,0,1
272,1,8.07,10.9,767,0,0.0,0,0,0
273,1,7.430000000000001,10.29,767,1773,5.0,0,0,0
274,1,7.75,10.09,742,949,55.8,0,0,1
275,1,13.750000000000002,11.23,687,12308,43.6,0,0,1
276,1,10.59,10.6,687,7914,30.8,2,0,0
277,1,14.38,10.66,672,9150,96.3,0,0,0
278,1,11.219999999999999,10.56,702,21777,53.7,0,0,0
279,1,12.8,11.48,667,4281,63.0,0,0,0
280,1,9.64,10.13,712,4475,63.0,0,0,0
281,1,9.959999999999999,11.51,707,25413,45.2,0,0,0
282,1,8.38,11.58,742,15043,65.2,0,0,0
283,1,10.59,10.16,682,6353,39.5,0,0,0
284,1,8.07,9.98,742,3737,55.8,0,0,0
285,1,9.33,11.14,717,11370,41.6,2,0,0
286,1,13.43,10.49,667,18403,73.3,1,0,0
287,1,12.17,11.7,662,19504,77.3,0,0,0
288,1,9.33,11.53,747,10463,8.2,0,0,0
289,1,9.01,9.21,707,2808,51.1,1,0,0
290,1,9.01,11.17,742,6297,14.5,0,0,0
291,1,8.07,11.03,792,33060,21.7,0,0,0
292,1,11.219999999999999,9.89,717,4500,13.0,0,0,1
293,1,9.959999999999999,11.21,732,2344,9.8,0,0,0
294,1,7.12,11.01,797,2907,4.0,0,0,0
295,1,9.959999999999999,10.97,727,26218,28.7,0,0,0
296,1,11.540000000000001,10.0,707,5967,25.5,0,0,0
297,1,9.64,11.63,702,27786,85.5,0,1,1
298,1,9.33,11.63,702,27786,85.5,0,1,1
299,1,9.01,11.7,722,7335,45.8,1,0,0
300,1,11.219999999999999,10.81,672,0,0.0,1,0,0
301,1,8.07,10.6,737,19210,48.3,0,0,0
302,1,9.64,10.6,717,11601,85.9,0,0,0
303,1,9.959999999999999,10.17,697,991,34.2,0,0,0
304,1,7.430000000000001,13.17,762,141287,9.4,1,0,0
305,1,10.14,11.7,687,199,1.1,1,0,0
306,1,10.459999999999999,11.7,692,63580,80.6,0,0,1
307,1,7.430000000000001,11.04,772,773,4.8,0,0,0
308,1,13.3,9.8,662,1042,37.2,1,0,0
309,1,13.3,10.2,662,137,3.2,1,0,1
310,1,9.83,11.47,712,1944,47.4,0,1,0
311,1,13.930000000000001,10.55,662,16613,18.3,1,0,1
312,1,8.38,9.39,737,0,0.0,0,0,0
313,1,13.3,10.82,662,5181,97.8,0,1,0
314,1,9.2,10.09,727,597,14.2,1,0,0
315,1,7.430000000000001,11.0,807,3202,1.1,0,0,0
316,1,12.36,11.8,687,46086,92.7,0,0,0
317,1,12.36,10.82,662,9380,44.1,0,1,1
318,1,10.14,10.6,752,35944,56.2,0,0,0
319,1,13.62,10.81,672,0,0.0,1,0,0
320,1,10.780000000000001,11.0,702,7973,89.6,0,0,0
321,1,8.07,10.11,752,8522,21.7,0,0,0
322,1,15.83,11.7,677,62976,86.1,2,0,0
323,1,13.62,10.31,667,7429,82.5,0,0,0
324,1,12.36,10.78,682,639,13.6,0,0,1
325,1,10.14,11.39,732,14903,35.3,0,0,0
326,1,12.36,10.6,662,2923,28.4,0,0,0
327,1,8.38,11.58,757,18314,50.6,0,0,0
328,1,7.12,10.27,777,150,7.5,0,0,0
329,1,12.36,9.76,662,0,0.0,0,0,0
330,1,7.430000000000001,11.13,767,2475,5.4,1,0,0
331,1,8.38,9.89,722,1489,62.0,0,0,0
332,1,11.09,10.63,702,15368,87.1,0,0,0
333,1,7.430000000000001,11.7,762,21521,29.5,0,0,1
334,1,10.780000000000001,11.02,702,4781,15.5,0,0,1
335,1,11.41,11.27,692,8473,27.6,1,1,0
336,1,12.36,10.73,677,8494,44.2,0,0,0
337,1,8.38,11.15,762,11333,45.5,0,0,0
338,1,8.07,11.02,762,9366,40.7,0,0,1
339,1,8.38,10.46,742,4922,30.6,0,0,0
340,1,12.67,11.42,677,23129,79.8,1,0,1
341,1,12.04,11.05,667,29736,80.2,0,0,0
342,1,9.51,11.61,722,67232,41.1,0,0,0
343,1,10.14,10.78,692,0,0.0,0,0,0
344,1,9.2,11.25,727,11496,26.6,0,0,0
345,1,10.780000000000001,10.51,687,6999,65.7,0,0,0
346,1,11.72,10.58,667,4863,69.5,1,0,0
347,1,11.41,9.88,667,12229,90.6,0,1,0
348,1,7.75,10.96,767,2325,8.2,0,0,0
349,1,11.09,11.18,687,14653,95.1,0,0,1
350,1,8.38,11.23,742,4286,40.4,0,0,0
351,1,12.04,10.71,677,8009,68.5,0,0,0
352,1,7.75,10.49,742,2353,12.4,0,0,1
353,1,7.75,10.82,767,6634,9.4,0,0,0
354,1,10.14,10.31,702,0,0.0,0,0,0
355,1,11.41,11.18,682,5608,47.1,0,0,0
356,1,12.989999999999998,10.78,682,13649,42.4,0,0,1
357,1,10.780000000000001,10.55,677,9973,33.8,0,0,0
358,1,12.04,10.76,677,16502,63.0,0,0,0
359,1,14.879999999999999,11.24,667,15773,95.0,0,0,1
360,1,9.51,11.08,777,3326,14.3,0,0,0
361,1,9.83,9.98,712,7263,39.0,0,0,0
362,1,8.38,10.55,767,3451,19.4,0,0,0
363,1,12.67,10.78,662,16770,50.7,0,0,0
364,1,10.780000000000001,10.49,692,17042,75.1,0,0,0
365,1,12.67,11.0,697,10686,49.4,0,0,0
366,1,9.2,12.01,732,45,0.4,0,0,0
367,1,9.51,10.39,717,3247,33.3,0,0,0
368,1,15.2,11.23,677,27839,72.7,1,0,0
369,1,7.75,11.66,807,0,0.0,0,0,0
370,1,8.07,11.0,757,17246,13.7,0,0,0
371,1,14.249999999999998,10.78,667,14036,64.4,0,0,0
372,1,10.459999999999999,10.17,692,5643,60.7,0,0,0
373,1,12.04,10.71,697,17850,66.3,0,0,0
374,1,9.51,10.92,722,8382,20.4,0,0,0
375,1,18.360000000000003,11.34,662,24280,93.4,0,0,0
376,1,11.72,10.49,677,8375,91.0,0,0,0
377,1,10.14,11.34,742,6437,28.6,0,0,0
378,1,11.72,11.03,697,16890,64.0,0,0,0
379,1,10.780000000000001,10.37,682,887,38.6,0,0,0
380,1,12.989999999999998,10.87,667,17771,52.1,0,0,1
381,1,12.989999999999998,10.67,677,13115,42.3,2,0,0
382,1,7.75,10.09,787,5028,12.1,0,0,1
383,1,10.780000000000001,9.31,692,1,0.2,0,1,1
384,1,10.780000000000001,10.52,702,10251,33.0,0,0,0
385,1,9.2,10.52,727,6566,48.6,0,0,0
386,1,10.459999999999999,10.82,687,9516,63.4,0,0,0
387,1,11.72,11.0,672,2126,6.4,0,0,0
388,1,13.3,10.71,662,7209,38.1,0,0,1
389,1,11.72,11.03,677,7180,34.4,0,0,1
390,1,8.38,10.61,727,7386,42.4,0,0,0
391,1,7.12,10.46,772,6035,19.0,0,0,0
392,1,13.3,11.7,662,28653,89.3,0,0,1
393,1,12.04,11.51,682,49459,88.8,2,0,0
394,1,12.67,11.41,697,22738,30.8,1,0,0
395,1,9.2,11.03,742,24406,40.3,0,0,1
396,1,9.51,10.34,747,25946,37.9,0,0,0
397,1,10.14,10.69,732,0,0.0,0,0,0
398,1,9.51,11.39,732,4765,16.5,0,1,0
399,1,15.83,11.23,662,15222,77.3,2,0,0
400,1,10.780000000000001,11.35,687,8035,50.5,1,1,0
401,1,10.14,11.23,722,14214,39.4,0,0,1
402,1,10.459999999999999,11.66,732,23442,42.1,0,0,0
403,1,8.38,12.07,742,101443,13.7,0,0,0
404,1,12.04,11.51,677,25988,98.8,0,0,0
405,1,16.150000000000002,11.64,682,51039,93.8,1,0,1
406,1,11.41,10.97,702,23370,70.0,0,0,0
407,1,11.72,12.21,692,119420,95.1,0,0,0
408,1,10.14,10.82,702,0,0.0,0,0,0
409,1,11.09,10.74,677,15564,56.6,0,0,0
410,1,12.36,11.35,677,13686,48.7,0,0,0
411,1,11.41,12.83,702,6921,0.0,0,0,0
412,1,10.14,10.49,697,4220,53.4,0,0,0
413,1,13.930000000000001,11.18,662,29877,75.6,0,0,0
414,1,13.3,10.47,697,21573,73.7,0,0,1
415,1,10.780000000000001,11.29,697,18316,81.0,1,0,1
416,1,7.75,10.09,782,1458,18.0,0,0,0
417,1,9.2,10.6,747,3179,11.0,0,1,0
418,1,8.38,11.08,757,4365,51.4,0,0,0
419,1,7.75,11.0,797,209,1.9,0,0,0
420,1,13.3,10.82,692,12573,71.8,1,0,0
421,1,12.36,11.46,702,806,10.3,0,0,1
422,1,11.09,10.37,697,4134,39.4,0,0,1
423,1,11.72,11.1,682,0,0.0,0,0,0
424,1,10.780000000000001,11.15,692,22157,98.0,0,0,0
425,1,11.09,11.41,722,54925,97.8,0,0,0
426,1,10.780000000000001,11.26,692,50908,37.1,2,0,0
427,1,10.780000000000001,11.58,682,16164,80.0,0,0,0
428,1,10.780000000000001,11.61,702,14046,80.3,0,0,1
429,1,7.75,10.01,792,4767,8.7,0,0,0
430,1,11.41,11.2,692,23882,89.8,0,0,0
431,1,8.07,9.9,782,674,2.6,0,0,0
432,1,9.83,11.18,757,56842,14.4,0,0,0
433,1,10.459999999999999,12.13,727,19948,77.0,0,0,0
434,1,10.780000000000001,10.82,687,10979,37.2,2,0,0
435,1,11.41,10.6,692,14643,76.4,0,0,0
436,1,11.72,10.92,682,15680,89.6,0,0,0
437,1,13.62,10.31,667,16670,71.7,0,0,0
438,1,10.780000000000001,11.22,697,2624,48.6,0,0,0
439,1,8.38,10.34,722,2773,10.8,0,0,0
440,1,9.51,11.14,767,2279,20.7,0,0,0
441,1,9.83,11.26,722,28110,31.9,0,0,0
442,1,9.2,12.38,792,997,1.2,0,0,0
443,1,9.2,10.92,747,2787,2.3,0,0,0
444,1,8.38,11.07,772,1612,12.1,0,0,1
445,1,14.879999999999999,11.08,672,10214,65.1,2,1,0
446,1,14.249999999999998,10.78,672,19892,83.6,0,0,0
447,1,9.2,10.46,727,1834,12.8,0,0,0
448,1,12.04,12.22,682,108397,67.3,0,0,0
449,1,7.75,11.08,757,3348,5.3,0,0,0
450,1,7.430000000000001,10.4,772,983,2.1,0,0,0
451,1,9.83,11.07,712,603,30.1,1,0,0
452,1,13.3,10.82,692,13662,60.7,1,0,0
453,1,6.0,11.04,687,26044,34.5,0,0,0
454,1,9.83,10.13,732,16212,50.7,0,0,0
455,1,9.83,10.49,762,8516,11.1,0,0,0
456,1,8.07,10.31,732,3953,15.9,0,0,0
457,1,9.2,11.39,727,12672,21.0,3,0,0
458,1,9.51,10.85,717,1346,23.2,0,0,0
459,1,9.2,10.71,732,12425,94.2,0,0,0
460,1,13.930000000000001,10.65,667,12032,87.2,0,1,1
461,1,7.75,10.96,802,14377,10.2,0,0,0
462,1,9.51,11.29,767,464,18.6,0,0,1
463,1,11.72,10.48,697,10900,42.4,0,0,0
464,1,10.459999999999999,10.76,707,7006,48.0,0,1,0
465,1,9.83,10.78,717,19708,37.1,1,0,0
466,1,12.67,11.21,707,30949,54.3,0,0,0
467,1,10.459999999999999,10.55,697,6101,36.8,0,0,0
468,1,8.32,10.13,727,1235,28.7,0,0,0
469,1,12.61,10.46,692,18028,88.4,0,0,0
470,1,9.45,10.9,742,8828,54.8,0,0,0
471,1,8.63,9.77,722,6033,31.1,0,0,0
472,1,8.32,10.82,752,64885,39.6,0,0,0
473,1,13.239999999999998,11.31,672,27905,81.8,2,0,0
474,1,11.97,11.41,692,14081,73.7,0,1,0
475,1,9.45,11.0,787,426,0.7,0,0,1
476,1,13.87,11.29,672,12301,56.4,0,0,0
477,1,8.63,9.8,722,0,0.0,0,0,0
478,1,9.76,9.9,737,2248,11.6,0,0,0
479,1,10.71,8.98,682,44,3.7,1,0,0
480,1,10.08,10.52,767,2296,7.6,0,0,0
481,1,12.920000000000002,11.16,702,16264,90.6,0,0,1
482,1,10.39,10.67,702,12758,40.4,0,0,0
483,1,8.0,10.78,792,2573,16.3,0,0,0
484,1,9.76,11.14,762,15176,31.6,0,0,0
485,1,10.08,10.65,727,7239,16.3,0,0,0
486,1,8.63,10.57,722,11217,52.9,0,0,0
487,1,10.08,10.24,702,12979,31.0,0,0,0
488,1,9.76,12.21,707,21894,0.0,0,0,0
489,1,11.97,11.33,682,4933,15.1,0,0,0
490,1,10.71,10.35,722,6206,35.3,0,0,0
